"City"	"Shape"
"5/21/15 22:50"	"FL"
"5/21/15 21:30"	"PA"
"5/21/15 21:00"	""
"5/21/15 20:25"	"MO"
"5/21/15 13:15"	"NM"
"5/21/15 08:30"	"OK"
"5/21/15 04:45"	"MI"
"5/21/15 00:38"	"FL"
"5/21/15 00:30"	"CA"
"5/20/15 21:34"	"MS"
"5/20/15 21:30"	"CT"
"5/20/15 13:45"	"KY"
"5/20/15 08:00"	"FL"
"5/19/15 23:20"	"AR"
"5/19/15 23:00"	"NM"
"5/19/15 22:30"	"BC"
"5/19/15 21:30"	"VA"
"5/19/15 21:15"	"NY"
"5/19/15 21:05"	"WA"
"5/19/15 20:53"	"PA"
"5/19/15 20:30"	"FL"
"5/19/15 04:00"	"MI"
"5/19/15 01:15"	"AB"
"5/18/15 23:20"	"AB"
"5/18/15 23:20"	"AB"
"5/18/15 23:00"	"CA"
"5/18/15 23:00"	"OR"
"5/18/15 21:15"	"CA"
"5/18/15 20:30"	"SC"
"5/18/15 16:45"	"FL"
"5/18/15 16:45"	"FL"
"5/18/15 14:00"	"GA"
"5/18/15 02:15"	""
"5/17/15 23:15"	"GA"
"5/17/15 22:50"	"OH"
"5/17/15 22:18"	"OR"
"5/17/15 22:15"	"TX"
"5/17/15 22:15"	"TX"
"5/17/15 21:40"	"MI"
"5/17/15 21:10"	"AZ"
"5/17/15 21:00"	"NY"
"5/17/15 21:00"	"VA"
"5/17/15 21:00"	"VA"
"5/17/15 20:30"	"AZ"
"5/17/15 20:25"	"MN"
"5/17/15 20:15"	"MA"
"5/17/15 18:02"	"TX"
"5/17/15 12:15"	"VA"
"5/17/15 05:26"	"FL"
"5/17/15 04:00"	"NJ"
"5/17/15 03:21"	"CA"
"5/16/15 22:00"	"NC"
"5/16/15 21:45"	"NV"
"5/16/15 20:30"	""
"5/16/15 15:29"	""
"5/16/15 12:55"	"FL"
"5/16/15 10:15"	"OR"
"5/16/15 09:45"	"NV"
"5/16/15 06:32"	""
